vout	I(Vout_C)	I(Vout_S)
4.000000000000000e-01	1.854860e-05	1.674733e-05
4.100000000000000e-01	1.826303e-05	1.656226e-05
4.200000000000000e-01	1.793087e-05	1.634138e-05
4.300000000000000e-01	1.754759e-05	1.607705e-05
4.400000000000001e-01	1.710872e-05	1.576138e-05
4.500000000000001e-01	1.660996e-05	1.538682e-05
4.600000000000001e-01	1.604730e-05	1.494650e-05
4.700000000000001e-01	1.541701e-05	1.443452e-05
4.800000000000001e-01	1.471574e-05	1.384604e-05
4.900000000000001e-01	1.394052e-05	1.317723e-05
5.000000000000001e-01	1.308875e-05	1.242509e-05
5.100000000000001e-01	1.215817e-05	1.158731e-05
5.200000000000001e-01	1.114685e-05	1.066215e-05
5.300000000000001e-01	1.005316e-05	9.648249e-06
5.400000000000001e-01	8.875734e-06	8.544554e-06
5.500000000000002e-01	7.613409e-06	7.350239e-06
5.599999999999999e-01	6.265228e-06	6.064648e-06
5.700000000000000e-01	4.830398e-06	4.687243e-06
5.800000000000000e-01	3.308261e-06	3.217577e-06
5.900000000000000e-01	1.698276e-06	1.655272e-06
6.000000000000000e-01	0.000000e+00	0.000000e+00
